960|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ENR71S Half Round Bass Guitar Strings Regular Light 45-100 Short Scale","id":"ENR71S","price":"21.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Regular Light / Short Scale Set|ENR71S|
961|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ25C Pro-Arte Clear Nylon Composite Flamenco Guitar Strings","id":"EJ25C","price":"13.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Composite Core, Clear Nylon Trebles|EJ25C|
962|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4505LP Pro-Arte Composite Classical Guitar Single String Normal Tension Fifth String","id":"J4505LP","price":"6.20","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Silver Wound Composite Polished 033/J45LP 5th Norm Tension|J4505LP|
963|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4301 Pro-Arte Nylon Classical Guitar Single String Light Tension First String","id":"J4301","price":"1.60","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Clear Nylon 0275/J43 1st Light Tension|J4301|
964|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXP170SL Coated Bass Guitar Strings Light 45-100 Super Long Scale","id":"EXP170SL","price":"0.00","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light / Super Long Scale Set|EXP170SL|
965|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL165SL Nickel Wound Bass Guitar Strings Custom Light 45-105 Super Long Scale","id":"EXL165SL","price":"24.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Custom Light / Super Long Scale Set|EXL165SL|
966|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4505LP Pro-Arte Composite Classical Guitar Single String Normal Tension Sixth String","id":"J4506LP","price":"6.30","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Silver Wound Composite Polished 043/J45LP 6th Norm Tension|J4506LP|
967|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ENR71S Half Round Bass Guitar Strings Regular Light 45-100 Short Scale","id":"ENR71S","price":"21.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Regular Light / Short Scale Set|ENR71S|
968|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ETB92 Tapewound Bass Guitar Strings Medium 50-105 Long Scale","id":"ETB92","price":"48.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Medium/ Long Scale Set|ETB92|
969|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXP4504 Coated Classical Guitar Single String Normal Tension Fourth String","id":"EXP4504","price":"4.80","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single .029 4TH Normal Tension|EXP4504|
